"19168","Catalina-Vegas Airlines: CVA"
"19169","Danbury Airlines: DAN"
"19170","Downeast Airlines Inc.: DEA"
"19171","Decatur Aviation: DEC"
"19172","DHL Airlines Inc.: DHL"
"19173","Dickman Aviation Services: DIC"
"19174","Desert Pacific Airways: DPA"
"19175","Desert Pacific Airlines Inc.: DPI"
"19176","Desert Airlines: DST"
"19177","Executive Aviation Inc.: EAI"
"19178","Eastern Caribbean Airways: EAS"
"19179","Eastern Carolina Aviation: ECI"
"19180","Ede Aire: EDE"
"19181","Executive Four Winds: EFA"
"19182","Eagle Commuter Airlines Inc.: EGL"
"19183","East Hampton Aire Inc.: EHA"
"19184","East. Indiana Aviation Sale: EIA"
"19185","Air Pacific Inc.: EKA"
"19186","Erie Airways Inc.: ERI"
"19187","Empire Aero Service: ERO"
"19188","Evanston Aviation: EVA"
"19189","Federal Armored Service Inc.: FAR"
"19190","Young Flying Service: FBI"
"19191","Southern Airlines Inc.: FCA"
"19192","Florida Airlines Inc.: FDA"
"19193","Freedom Airlines Inc.: FDM"
"19194","Flamenco Airways Inc.: FLM"
"19195","Ford-Aire Inc.: FOR"
"19196","Foster Aviation: FOS"
"19197","Skycraft Inc.: FVA"
"19198","Far West Airlines: FWA"
"19199","General Aviation Inc.: GAS"
"19200","Gromer Aviation Inc.: GAV"
"19201","Central States Airline: GBA"
"19202","Golden Carriage Aire: GCA"
"19203","Midway Commuter: GCS"
"19204","Green Hills Aviation Ltd.: GHA"
"19205","Green Mountain Airlines Ltd.: GMA"
"19206","Copper State Airlines: GOF"
"19207","Isle Royale Seaplane Serv.: GRO"
"19208","Golden South Airlines Inc.: GSL"
"19209","Gull Air Inc.: GUL"
"19210","Gunnel Aviation Inc.: GUN"
"19211","Ross Aviation Inc.: GWE"
"19212","Heussler Air Service Corp: HEU"
"19213","Hensley Flying Service Inc.: HFS"
"19214","Long Island Airlines: HMZ"
"19215","Holiday Airlines Inc.: HOL"
"19216","Iowa Airlines: HOR"
"19217","Pacific Coast Airlines: HPZ"
"19218","Trans-National Airlines Haw: HRA"
"19219","Scenic Airlines Inc.: HSZ"
"19220","Skystream Airlines: HUB"
"19221","Hawking Corporation: HWK"
"19222","Hyannis Aviation: HYA"
"19223","Iowa City Flying Service: ICF"
"19224","Idee Industries Inc.: III"
"19225","Inland Empire Airlines Inc.: INA"
"19226","Indiana Airways Inc. (Pa): IND"
"19227","Indo-Pacific International: IPI"
"19228","Island Airlines: ISL"
